2026-04-17 19:34:30.910 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 1 ms
2026-04-17 19:34:30.914 [main] WARN  com.travelagent.exception.GlobalExceptionHandler - Business exception: [400] 任务当前状态不可恢复
2026-04-17 19:34:30.940 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 19:34:30.941 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 19:34:30.941 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2026-04-17 19:34:30.971 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 19:34:30.971 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 19:34:30.971 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2026-04-17 19:34:30.980 [main] WARN  com.travelagent.exception.GlobalExceptionHandler - Validation error: 最少1天
2026-04-17 19:34:31.001 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 19:34:31.002 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 19:34:31.002 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2026-04-17 19:34:31.005 [main] WARN  com.travelagent.exception.GlobalExceptionHandler - Business exception: [404] 任务不存在: test-uuid-0001
2026-04-17 19:34:31.034 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 19:34:31.034 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 19:34:31.035 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2026-04-17 19:34:31.080 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 19:34:31.080 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 19:34:31.081 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 1 ms
2026-04-17 19:34:31.091 [main] WARN  com.travelagent.exception.GlobalExceptionHandler - Business exception: [429] Token配额已耗尽(daily)，任务已暂停，配额补充后可继续
2026-04-17 19:35:02.014 [main] INFO  com.travelagent.service.task.impl.TaskServiceImpl - Created task uuid=898b8b60-c3ae-45bd-8597-c2132392bd21 for userId=1
2026-04-17 19:35:02.068 [main] INFO  com.travelagent.service.task.impl.TaskServiceImpl - Resumed task uuid=test-uuid-0001 by userId=1, new status=resuming
2026-04-17 19:35:02.086 [main] INFO  com.travelagent.service.task.impl.TaskServiceImpl - Cancelled task uuid=test-uuid-0001 by userId=1
2026-04-17 22:07:03.091 [main] WARN  c.t.service.cache.impl.MultiLevelCacheServiceImpl - [Cache L2 ERROR] Redis read failed for key=cache:attractionBasic:key, falling through to L3: Redis connection refused
2026-04-17 22:24:18.910 [main] WARN  c.t.service.cache.impl.MultiLevelCacheServiceImpl - [Cache L2 ERROR] Redis read failed for key=cache:attractionBasic:key, falling through to L3: Redis connection refused
2026-04-17 22:29:30.119 [main] WARN  c.t.service.cache.impl.MultiLevelCacheServiceImpl - [Cache L2 ERROR] Redis read failed for key=cache:attractionBasic:key, falling through to L3: Redis connection refused
2026-04-17 22:29:40.128 [main] WARN  c.t.service.cache.impl.MultiLevelCacheServiceImpl - [Cache L2 ERROR] Redis read failed for key=cache:attractionBasic:key, falling through to L3: Redis connection refused
2026-04-17 22:31:27.450 [main] WARN  c.t.service.cache.impl.MultiLevelCacheServiceImpl - [Cache L2 ERROR] Redis read failed for key=cache:attractionBasic:key, falling through to L3: Redis connection refused
2026-04-17 22:39:12.460 [main] WARN  c.t.service.cache.impl.MultiLevelCacheServiceImpl - [Cache L2 ERROR] Redis read failed for key=cache:attractionBasic:key, falling through to L3: Redis connection refused
2026-04-17 22:40:01.357 [main] WARN  com.travelagent.client.amap.AmapClient - [AmapClient cache READ error] key=amap:weather:610100: JSON deserialization failed
2026-04-17 22:40:01.378 [main] WARN  com.travelagent.client.amap.AmapClient - [AmapClient cache READ error] key=amap:geocode:兵马俑:西安市: JSON deserialization failed
2026-04-17 22:50:03.807 [main] WARN  com.travelagent.client.amap.AmapClient - [AmapClient cache READ error] key=amap:weather:610100: JSON deserialization failed
2026-04-17 22:50:03.839 [main] WARN  com.travelagent.client.amap.AmapClient - [AmapClient cache READ error] key=amap:geocode:兵马俑:西安市: JSON deserialization failed
